package,version,license
domhandler,5.0.3,BSD-2-Clause
domutils,3.2.2,BSD-2-Clause
dunder-proto,1.0.1,MIT
ee-first,1.1.1,MIT
encodeurl,2.0.0,MIT
end-of-stream,1.4.5,MIT
entities,4.5.0,BSD-2-Clause
es-define-property,1.0.1,MIT
es-errors,1.3.0,MIT
es-object-atoms,1.1.2,MIT
escape-html,1.0.3,MIT
etag,1.8.1,MIT
event-target-shim,5.0.1,MIT
events-universal,1.0.1,Apache-2.0
eventsource,2.0.2,MIT
eventsource-parser,3.1.1,MIT
expand-template,2.0.3,(MIT OR WTFPL)
express,5.2.1,MIT
express-rate-limit,8.7.0,MIT
fast-deep-equal,3.1.3,MIT
fast-fifo,1.3.2,MIT
fast-uri,3.1.6,BSD-3-Clause
fetch-cookie,2.2.0,Unlicense
file-uri-to-path,1.0.0,MIT
finalhandler,2.1.1,MIT
forwarded,0.2.0,MIT
fresh,2.0.0,MIT
fs-constants,1.0.0,MIT
function-bind,1.1.2,MIT
fuzzyjs,5.0.1,MIT
get-intrinsic,1.3.0,MIT
get-proto,1.0.1,MIT
github-from-package,0.0.0,MIT
gopd,1.2.0,MIT
has-symbols,1.1.0,MIT
hasown,2.0.4,MIT
hono,4.13.5,MIT
html-escaper,3.0.3,MIT
html-to-text,9.0.5,MIT
htmlparser2,8.0.2,MIT
http-errors,2.0.1,MIT
iconv-lite,0.7.3,MIT
ieee754,1.2.1,BSD-3-Clause
inherits,2.0.4,ISC
ini,1.3.8,ISC
ip-address,10.7.0,MIT
ipaddr.js,1.9.1,MIT
is-promise,4.0.0,MIT
isexe,2.0.0,ISC
jose,6.2.10,MIT
json-schema-typed,8.0.2,BSD-2-Clause
katex,0.16.2,MIT
leac,0.6.0,MIT
libsodium-sumo,0.7.16,ISC
libsodium-wrappers-sumo,0.7.16,ISC
linkedom,0.14.26,ISC
liqe,1.13.0,BSD-3-Clause
math-intrinsics,1.1.0,MIT
media-typer,1.1.1,MIT
merge-descriptors,2.0.0,MIT
mime-db,1.52.0,MIT
mime-types,3.0.2,MIT
mime-types/node_modules/mime-db,1.54.0,MIT
mimic-response,3.1.0,MIT
minimist,1.2.8,MIT
mkdirp-classic,0.5.3,MIT
moo,0.5.3,BSD-3-Clause
ms,2.1.3,MIT
napi-build-utils,2.0.0,MIT
nearley,2.20.1,MIT
nearley/node_modules/commander,2.20.3,MIT
negotiator,1.1.0,MIT
negotiator/node_modules/content-type,2.1.0,MIT
node-abi,3.95.0,MIT
node-fetch,2.7.0,MIT
nth-check,2.1.1,BSD-2-Clause
object-assign,4.1.1,MIT
object-inspect,1.13.4,MIT
on-finished,2.4.1,MIT
once,1.4.0,ISC
parseley,0.12.1,MIT
parseurl,1.3.3,MIT
path-key,3.1.1,MIT
path-to-regexp,8.4.2,MIT
peberminta,0.9.0,MIT
pkce-challenge,5.0.1,MIT
prebuild-install,7.1.3,MIT
prismjs,1.30.0,MIT
proxy-addr,2.0.7,MIT
psl,1.15.0,MIT
pump,3.0.4,MIT
punycode,2.3.1,MIT
qclone,1.2.0,MIT
qs,6.16.0,BSD-3-Clause
querystringify,2.2.0,MIT
railroad-diagrams,1.0.0,CC0-1.0
randexp,0.4.6,MIT
range-parser,1.3.0,MIT
raw-body,3.0.2,MIT
rc,1.2.8,(BSD-2-Clause OR MIT OR Apache-2.0)
rc/node_modules/strip-json-comments,2.0.1,MIT
readable-stream,3.6.2,MIT
require-addon,1.2.0,Apache-2.0
require-from-string,2.0.2,MIT
requires-port,1.0.0,MIT
ret,0.1.15,MIT
rfdc,1.4.1,MIT
router,2.2.0,MIT
safe-buffer,5.2.1,MIT
safer-buffer,2.1.2,MIT
selderee,0.11.0,MIT
semver,7.8.5,ISC
send,1.2.1,MIT
serve-static,2.2.1,MIT
set-cookie-parser,2.7.2,MIT
setprototypeof,1.2.0,ISC
shebang-command,2.0.0,MIT
shebang-regex,3.0.0,MIT
side-channel,1.1.1,MIT
side-channel-list,1.0.1,MIT
side-channel-map,1.0.1,MIT
side-channel-weakmap,1.0.2,MIT
simple-concat,1.0.1,MIT
simple-get,4.0.1,MIT
sodium-native,5.1.0,MIT
spark-md5,3.0.2,(WTFPL OR MIT)
sqlite-better-trigram,0.0.3,Public Domain
sqlite-regex,0.2.4-alpha.1,(MIT OR Apache-2.0)
sqlite3-fts5-html,0.0.4,Public Domain
statuses,2.0.2,MIT
streamx,2.28.1,MIT
string_decoder,1.3.0,MIT
tar-fs,2.1.5,MIT
tar-stream,2.2.0,MIT
teex,1.0.1,MIT
text-decoder,1.2.7,Apache-2.0
toidentifier,1.0.1,MIT
tough-cookie,4.1.4,BSD-3-Clause
tr46,0.0.3,MIT
ts-error,1.0.6,MIT
tslib,2.8.1,0BSD
tunnel-agent,0.6.0,Apache-2.0
type-is,2.1.0,MIT
type-is/node_modules/content-type,2.1.0,MIT
uhyphen,0.2.0,ISC
universalify,0.2.0,MIT
unpipe,1.0.0,MIT
url-parse,1.5.10,MIT
util-deprecate,1.0.2,MIT
vary,1.1.2,MIT
webidl-conversions,3.0.1,BSD-2-Clause
whatwg-url,5.0.0,MIT
which,2.0.2,ISC
which-runtime,1.4.0,Apache-2.0
wrappy,1.0.2,ISC
ws,7.5.13,MIT
zod,4.5.4,MIT
zod-to-json-schema,3.25.2,ISC
